org_id,realcode,total_amount,record_count,org_total_amount,org_total_records,share_amount,share_records
000d25b1,F2100,378598.0,54,418633.0,92,0.9043673097916314,0.5869565217391305
000d25b1,Y4000,40035.0,38,418633.0,92,0.09563269020836866,0.41304347826086957
0028ffcf,D2000,398843.0,296,398843.0,296,1.0,1.0
002d5e63,F7000,579000.0,96,579000.0,96,1.0,1.0
0031476d,G2400,75390.0,81,2751666.0,896,0.027397947279938772,0.09040178571428571
0031476d,G2500,2676276.0,815,2751666.0,896,0.9726020527200613,0.9095982142857143
00357e9a,K0000,86500.0,33,86500.0,33,1.0,1.0
0042d263,G5210,71571.0,79,408946.0,343,0.17501332694292157,0.2303206997084548
0042d263,JE300,750.0,4,408946.0,343,0.001833982970856788,0.011661807580174927
0042d263,K2000,336625.0,260,408946.0,343,0.8231526900862216,0.7580174927113703
00436c43,G2810,127051.0,66,462567.0,328,0.2746650755458128,0.20121951219512196
00436c43,G2850,335316.0,261,462567.0,328,0.724902554656947,0.7957317073170732
00436c43,Y4000,200.0,1,462567.0,328,0.0004323697972401836,0.003048780487804878
00480210,F2500,476904.0,55,509904.0,67,0.9352819354231384,0.8208955223880597
00480210,J5000,8100.0,3,509904.0,67,0.015885343123411465,0.04477611940298507
00480210,Y4000,24900.0,9,509904.0,67,0.04883272145345006,0.13432835820895522
004a60b5,F2100,784225.0,491,784225.0,491,1.0,1.0
004a8400,F2600,2660660.0,342,2660660.0,342,1.0,1.0
0054032f,J7600,16300.0,7,2138099.0,462,0.007623594604365841,0.015151515151515152
0054032f,T9100,2110999.0,451,2138099.0,462,0.9873251893387537,0.9761904761904762
0054032f,Z9600,10800.0,4,2138099.0,462,0.005051216056880434,0.008658008658008658
005aa3af,J2100,638726.0,207,646226.0,208,0.9883941531290911,0.9951923076923077
005aa3af,Z9600,7500.0,1,646226.0,208,0.011605846870908938,0.004807692307692308
0060cb24,C1100,356160.0,495,358410.0,503,0.9937222733740688,0.9840954274353877
0060cb24,J1200,2000.0,7,358410.0,503,0.005580201445272174,0.013916500994035786
0060cb24,Y4000,250.0,1,358410.0,503,0.0006975251806590218,0.0019880715705765406
0063d13e,G4850,190525.0,192,382025.0,287,0.49872390550356654,0.6689895470383276
0063d13e,M2300,109600.0,45,382025.0,287,0.2868922190956089,0.156794425087108
0063d13e,Y4000,79200.0,49,382025.0,287,0.20731627511288528,0.17073170731707318
0063d13e,Z9600,2700.0,1,382025.0,287,0.007067600287939271,0.003484320557491289
006433cd,B1000,2624132.0,869,2625132.0,870,0.9996190667745469,0.9988505747126437
006433cd,Z9600,1000.0,1,2625132.0,870,0.0003809332254530439,0.0011494252873563218
00664975,K1000,231746.0,145,457793.0,264,0.5062244289449599,0.5492424242424242
00664975,K1100,214047.0,111,457793.0,264,0.4675628504586134,0.42045454545454547
00664975,Y4000,10000.0,3,457793.0,264,0.02184393383035564,0.011363636363636364
00664975,Z9600,2000.0,5,457793.0,264,0.004368786766071128,0.01893939393939394
0072c99f,F7000,5117485.0,460,5195085.0,534,0.9850628045546896,0.8614232209737828
0072c99f,J7150,13000.0,16,5195085.0,534,0.0025023652163535344,0.0299625468164794
0072c99f,J7400,64600.0,58,5195085.0,534,0.012434830228956794,0.10861423220973783
0077d565,E1120,498741.0,71,498741.0,71,1.0,1.0
0078c9dc,H0000,10400.0,13,590783.0,622,0.017603756370782504,0.02090032154340836
0078c9dc,H4100,579979.0,603,590783.0,622,0.9817124054009678,0.9694533762057878
0078c9dc,JE300,104.0,3,590783.0,622,0.00017603756370782503,0.00482315112540193
0078c9dc,Z9600,300.0,3,590783.0,622,0.000507800664541803,0.00482315112540193
0079e3bc,C2600,205300.0,21,792770.0,136,0.2589653998006988,0.15441176470588236
0079e3bc,G5270,587220.0,114,792770.0,136,0.7407192502238985,0.8382352941176471
0079e3bc,J7400,250.0,1,792770.0,136,0.0003153499754027019,0.007352941176470588
00837515,F0000,491880.0,123,491880.0,123,1.0,1.0
00a30323,J2200,2500604.0,825,2500604.0,825,1.0,1.0
00a79103,C1100,665977.0,230,665977.0,230,1.0,1.0
00b52371,F0000,24000.0,31,5514474.0,333,0.004352183000590809,0.09309309309309309
00b52371,F2000,86891.0,26,5514474.0,333,0.015756897212680667,0.07807807807807808
00b52371,F2100,144513.0,105,5514474.0,333,0.026206125915182482,0.3153153153153153
00b52371,F2600,5134250.0,53,5514474.0,333,0.9310498154493067,0.15915915915915915
00b52371,F4000,108022.0,89,5514474.0,333,0.019588813003742513,0.2672672672672673
00b52371,F7000,3250.0,4,5514474.0,333,0.0005893581146633387,0.012012012012012012
00b52371,J1100,60.0,1,5514474.0,333,1.0880457501477023e-05,0.003003003003003003
00b52371,J5100,750.0,2,5514474.0,333,0.00013600571876846277,0.006006006006006006
00b52371,J7600,2700.0,1,5514474.0,333,0.000489620587566466,0.003003003003003003
00b52371,K2000,1000.0,2,5514474.0,333,0.00018134095835795037,0.006006006006006006
00b52371,Y4000,9038.0,19,5514474.0,333,0.0016389595816391554,0.057057057057057055
